gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
1,0,1,0,0.0,0,0,0,1,0,0,0,0,1,0.11542288557213931,0.001275098084468036,1,0,0,1,0,0,0,0,1,0,0
0,0,0,0,0.46478873239436624,1,0,1,0,1,0,0,0,0,0.3850746268656716,0.21586660512347106,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0.014084507042253521,1,0,1,1,0,0,0,0,1,0.35422885572139307,0.010310408492960998,1,0,0,1,0,0,0,0,0,1,1
0,0,0,0,0.619718309859155,0,0,1,0,1,1,0,0,0,0.23930348258706463,0.21024117239787676,1,0,0,0,1,0,1,0,0,0,0
1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,1,0.5218905472636816,0.015330025386568198,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.09859154929577466,1,1,0,0,1,0,1,1,1,0.8099502487562189,0.09251096238172168,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1,0.295774647887324,1,1,0,1,0,0,1,0,1,0.7049751243781094,0.22277867528271408,0,1,0,1,0,0,0,1,0,0,0
1,0,0,0,0.1267605633802817,0,0,1,0,0,0,0,0,0,0.11442786069651739,0.032667897530579276,1,0,0,1,0,0,0,0,0,1,0
1,0,1,0,0.3802816901408451,1,1,0,0,1,1,1,1,1,0.8611940298507462,0.3493249480729287,0,1,0,1,0,0,0,0,1,0,1
0,0,0,1,0.8591549295774649,1,0,1,1,0,0,0,0,0,0.3771144278606965,0.4003173321024694,1,0,0,0,1,0,1,0,0,0,0
0,0,1,1,0.16901408450704225,1,0,1,0,0,0,0,0,1,0.3154228855721393,0.06561850911608587,1,0,0,1,0,0,0,0,0,1,0
0,0,0,0,0.2112676056338028,1,0,0,0,0,0,0,0,0,0.006965174129353213,0.035541195476575124,0,0,1,0,0,1,0,1,0,0,0
0,0,1,0,0.8028169014084507,1,1,0,0,1,0,1,1,0,0.8169154228855721,0.6533925686591276,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,0.676056338028169,1,1,0,1,1,0,1,1,1,0.8502487562189055,0.578986845141934,0,1,0,1,0,0,1,0,0,0,1
0,0,0,0,0.33802816901408456,1,0,1,0,1,1,1,1,1,0.8681592039800995,0.30778329102238633,0,1,0,1,0,0,0,0,1,0,0
1,0,1,1,0.9577464788732395,1,1,1,1,1,1,1,1,0,0.945273631840796,0.9088795291945534,0,1,0,0,0,1,0,1,0,0,0
1,0,0,0,0.7183098591549296,1,0,0,0,0,0,0,0,0,0.023880597014925342,0.11587237479806141,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,0.9859154929577465,1,1,1,0,1,0,1,1,0,0.8800995024875623,0.8496942072467113,0,1,0,0,0,1,1,0,0,0,0
1,0,1,1,0.1267605633802817,1,0,0,0,1,1,0,0,0,0.36766169154228856,0.05879875375028849,1,0,0,1,0,0,0,1,0,0,1
1,0,0,0,0.28169014084507044,1,0,0,1,1,0,0,1,1,0.7144278606965173,0.2127971382414032,0,1,0,1,0,0,0,0,1,0,0
0,1,0,0,0.0,0,0,0,0,1,0,0,1,1,0.21293532338308457,0.0024059543041772442,1,0,0,1,0,0,0,0,1,0,1
0,0,1,0,0.15492957746478872,1,0,0,0,0,0,0,0,0,0.015422885572139305,0.02116893607200554,0,0,1,0,1,0,1,0,0,0,0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.00015578121393953342,0,0,1,1,0,0,0,0,0,1,1
1,0,1,0,0.8028169014084507,1,1,0,1,0,1,0,0,1,0.4144278606965174,0.4022963304869605,1,0,0,0,0,1,0,1,0,0,0
0,0,1,1,0.676056338028169,1,0,1,1,0,1,0,0,0,0.4114427860696518,0.34058389106854375,1,0,0,1,0,0,0,1,0,0,0
1,0,0,0,0.4084507042253521,1,0,1,1,0,0,0,0,1,0.3686567164179104,0.17445188091391645,1,0,0,1,0,0,1,0,0,0,0
0,0,1,1,0.647887323943662,1,1,0,1,0,0,1,1,1,0.8069651741293532,0.545851603969536,0,1,0,1,0,0,0,0,1,0,1
0,0,1,1,0.0,0,0,0,1,0,0,0,0,0,0.11890547263681589,0.0013154858066005077,1,0,0,1,0,0,0,0,1,0,1
0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7164179104477612,0.7328236787445188,1,0,0,0,0,1,0,1,0,0,0
1,0,0,1,0.22535211267605634,1,0,0,0,0,0,1,1,1,0.4621890547263682,0.12396722824832679,1,0,0,1,0,0,0,0,0,1,1
1,1,1,0,0.9859154929577465,1,1,1,1,1,1,0,0,1,0.7771144278606964,0.778692591737826,0,1,0,0,0,1,0,1,0,0,0
0,1,1,0,0.014084507042253521,1,0,0,0,1,0,1,1,1,0.7686567164179104,0.01879183014078006,0,1,0,1,0,0,0,1,0,0,0
1,0,1,1,0.36619718309859156,1,0,1,1,1,1,0,0,0,0.47661691542288565,0.21412993307177478,1,0,0,0,1,0,0,0,0,1,0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.019402985074626844,0.0001615508885298867,0,0,1,1,0,0,1,0,0,0,0
0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.26865671641791045,0.003052157858296792,1,0,0,1,0,0,1,0,0,0,0
1,0,1,1,1.0,1,1,1,1,0,1,1,0,0,0.8124378109452737,0.8346295868912993,0,1,0,0,0,1,1,0,0,0,0
0,0,0,0,0.056338028169014086,1,0,0,0,0,0,0,0,1,0.5119402985074627,0.034398799907685206,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0,0.6338028169014085,1,0,0,0,1,0,0,0,1,0.5626865671641791,0.40728132933302563,0,1,0,1,0,0,0,1,0,0,0
0,0,0,0,0.46478873239436624,1,1,0,1,1,0,1,1,1,0.8766169154228854,0.4073909531502423,0,1,0,1,0,0,0,0,1,0,1
